red,green,code,blue,nir,maingrid,swir1,swir2,randomc,value,OGC_FID,subgrid
918.5000,923.5000,-46.607534_-23.468189,651.0000,1982.0000,SF-23-Y-C,1782.0000,1242.5000,0.639247078764651,1,270119,SF-23-Y-C-III
1187.0000,1113.5000,-46.594969_-23.466753,871.5000,1632.0000,SF-23-Y-C,1780.5000,1685.5000,0.190827316539661,1,270155,SF-23-Y-C-III
799.0000,693.0000,-46.60897_-23.462445,519.0000,1625.0000,SF-23-Y-C,1494.0000,1115.0000,0.261436889334653,1,270103,SF-23-Y-C-III
1118.0000,901.0000,-46.603944_-23.454547,627.0000,1701.0000,SF-23-Y-C,2124.0000,1763.0000,0.937986195194817,1,270176,SF-23-Y-C-III
1009.5000,856.5000,-46.610406_-23.453111,622.5000,1889.5000,SF-23-Y-C,1918.0000,1505.5000,0.631800619321261,1,270164,SF-23-Y-C-III
1020.0000,876.5000,-46.617945_-23.458137,608.5000,1990.0000,SF-23-Y-C,1834.5000,1170.5000,0.298095826824205,1,270094,SF-23-Y-C-III
734.0000,659.0000,-46.624048_-23.461368,457.0000,1594.0000,SF-23-Y-C,1549.0000,1196.0000,0.386301411840512,1,270128,SF-23-Y-C-III
913.0000,736.0000,-46.64846_-23.466035,530.0000,1545.0000,SF-23-Y-C,1876.0000,1506.0000,0.345425631873077,1,270091,SF-23-Y-C-III
1264.0000,1062.5000,-46.644511_-23.456342,772.5000,1899.5000,SF-23-Y-C,2368.5000,1936.0000,0.562757089575131,1,270147,SF-23-Y-C-III
969.0000,880.0000,-46.66282_-23.46065,678.5000,1451.5000,SF-23-Y-C,1565.0000,1280.0000,0.574344040239320,1,270140,SF-23-Y-C-III
1153.0000,1030.0000,-46.668564_-23.480395,791.0000,1627.0000,SF-23-Y-C,1989.0000,1621.0000,0.602882986807199,1,270142,SF-23-Y-C-III
1101.0000,987.0000,-46.664256_-23.490447,768.0000,1696.0000,SF-23-Y-C,1926.0000,1719.0000,0.841878781632536,1,270153,SF-23-Y-C-III
1085.5000,1006.5000,-46.658871_-23.487575,750.5000,1351.5000,SF-23-Y-C,1751.0000,1490.5000,0.864377628989192,1,270166,SF-23-Y-C-III
