rule,type,kernel,active,biome,notes,tminus2,tminus1,t,tplus1,tplus2,result
RG1,RG,3,1,INFRAURBANA,,null,24,27,24,null,24
RU1,RU,3,1,INFRAURBANA,,null,24,24,27,null,24
RG1,RG,3,1,INFRAURBANA,,null,24,27,24,null,24
RG1,RG,5,1,INFRAURBANA,,24,24,27,27,24,24
RG1,RG,3,1,INFRAURBANA,,null,24,27,24,null,24
RG1,RG,3,1,INFRAURBANA,,null,27,24,27,null,27
RP1,RP,3,1,INFRAURBANA,,null,24,27,27,null,27
